Wiki,Pages,Edits,Tags,Farm,URL
ShirtnetworkWiki,129,454,,,http://wiki.shirtnetwork.com/wiki/Hauptseite
"Wikipedia (ho)",129,3786,closed,Farm:Wikipedia,http://ho.wikipedia.org/
Kitchen,129,374,,,http://babbiskitchen.com/index.php?title=Main_Page
"Research on Search - Information Retrieval",129,357,,,http://zitnik.si/mediawiki/index.php?title=Main_Page
"Melbourne Photo Wiki",129,572,,,http://silvermine.org.au/wiki/Main_Page
GamesMeterWiki,129,2254,,,http://wiki.gamesmeter.nl/index.php/Hoofdpagina
"Advisory Board",129,461,closed,Farm:Wikimedia,https://advisory.wikimedia.org/wiki/Main_Page
"Girls Only (Yeet, yeet, yeet.) Wiki",129,133,,Farm:Wikia,"https://girls-only-yeet-yeet-yeet.fandom.com/wiki/Girls_Only_(Yeet,_yeet,_yeet.)_Wiki"
"Geoportal Landau",129,2494,,,https://geoportal.landau.de/mediawiki/index.php/Hauptseite
"Équipe Informatique Géométrique et Graphique",129,3823,,,http://icube-igg.unistra.fr/en/index.php/Main_Page
G8,130,2418,,,https://g8.indymedia.org.uk/Main_Page
"SmartMedicalConsumer Wiki",130,21608,,,http://www.smartmedicalconsumer.com/wiki/Main_Page
"Big Green Wiki",130,142,"cooking,grilling,barbecue",Farm:Thingelstad.com,http://biggreenwiki.com/wiki/Main_Page
"Cargese School 2013 - Cosmic Accelerators",130,389,,,http://www.issibern.ch/cargese2013/index.php/Main_Page
"Adobe Open Source Wiki",130,2446,,,http://stlab.adobe.com/wiki/index.php/Main_Page
"De XBRL wiki",130,1277,,,http://www.dexbrlsite.nl/wiki/index.php/Welkom_op_de_XBRL_wiki
"Dead Island Wiki - Neoseeker",130,226,,Farm:Neoseeker,https://deadisland.neoseeker.com/wiki/Main_Page
"Cross the Multiverse",130,513,,,http://crossthemultiverse.com/index.php?title=Main_Page
"Picker Knowledge",130,7267,,,http://pickerknowledge.com/index.php/Main_Page
Jayet.ch,130,114042,,,http://jayet.ch/index.php/Accueil
Super-Sonics,130,953,,,http://super-sonics.co.uk/en/Main_Page
WikiGamesWiki,130,210,"community,games,gaming",,http://wikigameswiki.x10host.com
OrbisWiki,130,281,"video game",,https://orbiswiki.com/
"Wikibooks (wa)",130,4022,books,Farm:Wikibooks,http://wa.wikibooks.org/wiki
"Учеткин.by Wiki",130,3469,,,http://wiki.uchetkin.by/Заглавная_страница
"FernUniHagen - Dach Adobe Connect",130,1291,,Farm:FernUniHagen,http://wiki.fernuni-hagen.de/dachadobeconnect/index.php/Hauptseite
"Теософское Общество в России",130,493,,,http://ts-russia.org/info/Заглавная_страница
"Contiki OS Wiki",130,388,,,http://contikios.altervista.org/index.php/Benvenuto_in_Contiki_OS_wiki
